,MMP,X,Y,Z,Yeo7,YeoDesc7,Yeo17,YeoDesc17
56,L_p24pr_ROI,-5.124982833862305,-2.5527336597442627,37.961341857910156,4.0,VentralAttention,7.0,Salience_1
57,L_33pr_ROI,-5.575830459594727,10.941595077514648,28.48322296142578,6.0,Frontoparietal,12.0,CentralExecutive_2
58,L_a24pr_ROI,-7.15101432800293,16.19327163696289,30.7125301361084,4.0,VentralAttention,7.0,Salience_1
59,L_p32pr_ROI,-11.230191230773926,14.615068435668945,37.1983528137207,4.0,VentralAttention,7.0,Salience_1
60,L_a24_ROI,-7.075322151184082,38.1977653503418,-2.663900375366211,7.0,Default,16.0,DMN_3
61,L_d32_ROI,-10.823042869567871,40.74280548095703,21.520082473754883,7.0,Default,16.0,DMN_3
62,L_8BM_ROI,-7.569713592529297,30.816200256347656,43.10273742675781,6.0,Frontoparietal,13.0,CentralExecutive_3
63,L_p32_ROI,-11.84713077545166,45.73898696899414,-2.211390495300293,7.0,Default,16.0,DMN_3
64,L_10r_ROI,-8.426913261413574,47.822269439697266,-10.335759162902832,7.0,Default,16.0,DMN_3
65,L_47m_ROI,-34.939666748046875,29.836824417114258,-13.476737022399902,7.0,Default,17.0,DMN_4
66,L_8Av_ROI,-36.944942474365234,16.87677574157715,47.19779968261719,7.0,Default,17.0,DMN_4
67,L_8Ad_ROI,-22.824804306030273,24.933393478393555,40.602840423583984,7.0,Default,16.0,DMN_3
68,L_9m_ROI,-8.471875190734863,51.793148040771484,21.35491180419922,7.0,Default,17.0,DMN_4
69,L_8BL_ROI,-11.594557762145996,35.84854507446289,48.81462478637695,7.0,Default,17.0,DMN_4
70,L_9p_ROI,-16.990806579589844,43.8248176574707,35.906585693359375,7.0,Default,17.0,DMN_4
71,L_10d_ROI,-10.757433891296387,62.035400390625,7.792101860046387,7.0,Default,16.0,DMN_3
72,L_8C_ROI,-39.42367172241211,16.482627868652344,35.349796295166016,6.0,Frontoparietal,13.0,CentralExecutive_3
73,L_44_ROI,-49.9904670715332,15.650951385498047,12.258712768554688,7.0,Default,17.0,DMN_4
